"problem_id","KC"
"1","Data types"
"10","Data types"
"100","Independent Events"
"101","Mutually Exclusive Events"
"102","Mutually Exclusive Events"
"103","Mutually Exclusive Events"
"104","Probability overview"
"105","Probability overview"
"106","Probability overview"
"107","Law of Complements"
"108","Law of Complements"
"109","Law of Complements"
"11","Data types"
"110","Conditional Probability"
"111","Conditional Probability"
"112","Conditional Probability"
"113","Mutually Exclusive Events"
"114","Mutually Exclusive Events"
"115","Mutually Exclusive Events"
"116","Law of Total Probability"
"117","Law of Total Probability"
"118","Law of Total Probability"
"119","Law of Total Probability"
"12","Data types"
"120","Bayes Theorem"
"121","Bayes Theorem"
"122","Bayes Theorem"
"123","Bayes Theorem"
"124","Bayes Theorem"
"125","Bayes Theorem"
"126","Bayes Theorem"
"127","Bayes Theorem"
"128","Bayes Theorem"
"129","Bayes Theorem"
"13","Data types"
"130","Bayes Theorem"
"131","Bayes Theorem"
"132","Bayes Theorem"
"133","Bayes Theorem"
"134","Bayes Theorem"
"135","Bayes Theorem"
"136","Conditional Probability"
"137","Conditional Probability"
"138","Conditional Probability"
"139","Conditional Probability"
"14","Data types"
"140","Law of Total Probability"
"141","Law of Total Probability"
"142","Law of Total Probability"
"143","Law of Total Probability"
"144","Conditional Probability"
"145","Conditional Probability"
"146","Conditional Probability"
"147","Conditional Probability"
"148","Discrete Random Variables"
"149","Discrete Random Variables"
"15","Data types"
"150","Discrete Random Variables"
"151","Continuous Random Variables"
"152","Discrete Random Variables"
"153","Continuous Random Variables"
"154","Continuous Random Variables"
"155","Continuous Random Variables"
"156","Continuous Random Variables"
"157","Discrete Random Variables"
"158","Discrete Random Variables"
"159","Normal Random Variable"
"16","Data types"
"160","Normal Random Variable"
"161","Normal Random Variable"
"162","Descriptive Stats--Discrete Random Variable"
"163","Descriptive Stats--Discrete Random Variable"
"164","Descriptive Stats--Discrete Random Variable"
"165","Descriptive Stats--Discrete Random Variable"
"166","Descriptive Stats--Discrete Random Variable"
"167","Descriptive Stats--Discrete Random Variable"
"168","Descriptive Stats--Discrete Random Variable"
"169","Descriptive Stats--Discrete Random Variable"
"17","Histograms and Skewness"
"170","Descriptive Stats--Discrete Random Variable"
"171","Descriptive Stats--Discrete Random Variable"
"172","Descriptive Stats--Discrete Random Variable"
"173","Descriptive Stats--Discrete Random Variable"
"174","Descriptive Stats--Discrete Random Variable"
"175","Descriptive Stats--Discrete Random Variable"
"176","Descriptive Stats--Discrete Random Variable"
"177","Mean of Sum of Random Variables"
"178","Mean of Sum of Random Variables"
"179","Mean of Sum of Random Variables"
"18","Histograms and Skewness"
"180","Binomial "
"181","Binomial "
"182","Binomial "
"183","Binomial "
"184","Binomial "
"185","Binomial "
"186","Binomial "
"187","Binomial "
"188","Binomial "
"189","Binomial "
"19","Descriptive Stats"
"190","Binomial "
"191","Binomial "
"192","Binomial "
"193","Binomial "
"194","Binomial "
"195","Poisson Probabilities"
"196","Poisson Probabilities"
"197","Poisson Probabilities"
"198","Poisson Probabilities"
"199","Poisson Probabilities"
"2","Data types"
"20","Descriptive Stats"
"200","Poisson Probabilities"
"201","Poisson Probabilities"
"202","Poisson Probabilities"
"203","Poisson Probabilities"
"204","Poisson Probabilities"
"205","Poisson Probabilities"
"206","Poisson Probabilities"
"207","Normal Random Variable"
"208","Normal Random Variable"
"209","Normal Random Variable"
"21","Descriptive Stats"
"210","Normal Random Variable"
"211","Normal Random Variable"
"212","Normal Random Variable"
"213","Normal Random Variable"
"214","Normal Random Variable"
"215","Normal Random Variable"
"216","Normal Random Variable"
"217","Normal Random Variable"
"218","Normal Random Variable"
"219","Normal Random Variable"
"22","Descriptive Stats"
"220","Z-Scores, Standard Normal and the .S Functions"
"221","Z-Scores, Standard Normal and the .S Functions"
"222","Z-Scores, Standard Normal and the .S Functions"
"223","Z-Scores, Standard Normal and the .S Functions"
"224","Z-Scores, Standard Normal and the .S Functions"
"225","Z-Scores, Standard Normal and the .S Functions"
"226","Z-Scores, Standard Normal and the .S Functions"
"227","Z-Scores, Standard Normal and the .S Functions"
"228","Z-Scores, Standard Normal and the .S Functions"
"229","Normal Random Variable"
"23","Descriptive Stats"
"230","Normal Random Variable"
"231","Normal Random Variable"
"232","Normal Random Variable"
"233","Normal Random Variable"
"234","Normal Random Variable"
"235","Problems in Sampling"
"236","Problems in Sampling"
"237","Problems in Sampling"
"238","Problems in Sampling"
"239","Problems in Sampling"
"24","Descriptive Stats"
"240","Descriptive Stats"
"241","Descriptive Stats"
"242","Descriptive Stats"
"243","Estimate P-hat"
"244","Estimate P-hat"
"245","Estimate P-hat"
"246","Z-Scores, Standard Normal and the .S Functions"
"247","Z-Scores, Standard Normal and the .S Functions"
"248","Z-Scores, Standard Normal and the .S Functions"
"249","Descriptive Stats"
"25","Descriptive Stats"
"250","Descriptive Stats"
"251","Descriptive Stats"
"252","Descriptive Stats"
"253","Descriptive Stats"
"254","Descriptive Stats"
"255","Confidence Interval"
"256","Confidence Interval"
"257","Confidence Interval"
"258","Confidence Interval"
"259","Confidence Interval"
"26","Descriptive Stats"
"260","Confidence Interval"
"261","Confidence Interval"
"262","Confidence Interval"
"263","Confidence Interval"
"264","Confidence Interval"
"265","Confidence Interval"
"266","Confidence Interval"
"267","Confidence Interval"
"268","Confidence Interval"
"269","Confidence Interval"
"27","Descriptive Stats"
"270","Finite Correction"
"271","Finite Correction"
"272","Finite Correction"
"273","Sample Size"
"274","Sample Size"
"275","Sample Size"
"276","Sample Size"
"277","Sample Size"
"278","Sample Size"
"279","Sample Size"
"28","Descriptive Stats"
"280","Sample Size"
"281","Sample Size"
"282","Finite Correction"
"283","Finite Correction"
"284","Finite Correction"
"285","Finite Correction"
"286","Finite Correction"
"287","Finite Correction"
"288","Confidence Interval"
"289","Confidence Interval"
"29","Descriptive Stats"
"290","Confidence Interval"
"291","Confidence Interval"
"292","Confidence Interval"
"293","Confidence Interval"
"294","Hypothesis Testing"
"295","Hypothesis Testing"
"296","Hypothesis Testing"
"297","Hypothesis Testing"
"298","Hypothesis Testing"
"299","Hypothesis Testing"
"3","Data types"
"30","Descriptive Stats"
"300","Hypothesis Testing"
"301","Hypothesis Testing"
"302","Hypothesis Testing"
"303","Hypothesis Testing"
"304","Hypothesis Testing"
"305","Hypothesis Testing"
"306","Hypothesis Testing"
"307","Hypothesis Testing"
"308","Hypothesis Testing"
"309","Hypothesis Testing"
"31","Descriptive Stats"
"310","Hypothesis Testing"
"311","Hypothesis Testing"
"312","P-Values"
"313","Hypothesis Testing"
"314","P-Values"
"315","Hypothesis Testing"
"316","P-Values"
"317","Hypothesis Testing"
"318","P-Values"
"319","Hypothesis Testing"
"32","Descriptive Stats"
"320","P-Values"
"321","Hypothesis Testing"
"322","P-Values"
"323","Hypothesis Testing"
"324","P-Values"
"325","Hypothesis Testing"
"326","P-Values"
"327","Hypothesis Testing"
"328","P-Values"
"329","Hypothesis Testing"
"33","Descriptive Stats"
"330","P-Values"
"331","Hypothesis Testing"
"332","P-Values"
"333","Hypothesis Testing"
"334","P-Values"
"335","One Sample T-Test"
"336","P-Values"
"337","One Sample T-Test"
"338","P-Values"
"339","One Sample T-Test"
"34","Descriptive Stats"
"340","P-Values"
"341","One Sample T-Test"
"342","P-Values"
"343","One Sample T-Test"
"344","P-Values"
"345","One Sample T-Test"
"346","P-Values"
"347","One Sample T-Test"
"348","P-Values"
"349","One Sample T-Test"
"35","Histograms and Skewness"
"350","P-Values"
"351","One Sample T-Test"
"352","P-Values"
"353","One Sample T-Test"
"354","P-Values"
"355","One Sample T-Test"
"356","P-Values"
"357","One Sample T-Test"
"358","P-Values"
"359","One Sample T-Test"
"36","Histograms and Skewness"
"360","One Sample T-Test"
"361","One Sample T-Test"
"362","One Sample T-Test"
"363","One Sample T-Test"
"364","One Sample T-Test"
"365","One Sample T-Test"
"366","One Sample T-Test"
"367","One Sample T-Test"
"368","One Sample T-Test"
"369","One Sample T-Test"
"37","Histograms and Skewness"
"370","One Sample T-Test"
"371","One Sample T-Test"
"372","One Sample T-Test"
"373","One Sample T-Test"
"374","One Sample T-Test"
"375","One Sample T-Test"
"376","One Sample T-Test"
"377","One Sample T-Test"
"378","One Sample T-Test"
"379","One Sample T-Test"
"38","Histograms and Skewness"
"380","One Sample T-Test"
"381","One Sample T-Test"
"382","One Sample T-Test"
"383","Testing Equality of Variances"
"384","Testing Equality of Variances"
"385","Testing Equality of Variances"
"386","Testing Equality of Variances"
"387","Testing Equality of Variances"
"388","Equal Variance T-Test"
"389","Equal Variance T-Test"
"39","CAGR"
"390","Equal Variance T-Test"
"391","Equal Variance T-Test"
"392","Equal Variance T-Test"
"393","Equal Variance T-Test"
"394","Equal Variance T-Test"
"395","Equal Variance T-Test"
"396","Unequal Variance T-Test"
"397","Unequal Variance T-Test"
"398","Unequal Variance T-Test"
"399","Unequal Variance T-Test"
"4","Data types"
"40","CAGR"
"400","Unequal Variance T-Test"
"401","Unequal Variance T-Test"
"402","Two Sample Z-Test"
"403","Two Sample Z-Test"
"404","Two Sample Z-Test"
"405","Two Sample Z-Test"
"406","Two Sample Z-Test"
"407","Two Sample Z-Test"
"408","T-Test Paired Two Sample for Means"
"409","T-Test Paired Two Sample for Means"
"41","CAGR"
"410","T-Test Paired Two Sample for Means"
"411","T-Test Paired Two Sample for Means"
"412","T-Test Paired Two Sample for Means"
"413","T-Test Paired Two Sample for Means"
"414","Chi Square"
"415","Chi Square"
"416","Chi Square"
"417","Chi Square"
"418","Chi Square"
"419","Chi Square"
"42","CAGR"
"420","Chi Square"
"421","Chi Square"
"422","Chi Square"
"423","Chi Square"
"424","Chi Square"
"425","Chi Square"
"426","Chi Square"
"427","Chi Square"
"428","Chi Square"
"429","Chi Square"
"43","CAGR"
"430","Chi Square"
"431","Chi Square"
"432","Chi Square"
"433","Chi Square"
"434","Chi Square"
"435","Problems in Sampling"
"44","CAGR"
"45","CAGR"
"46","CAGR"
"47","CAGR"
"48","CAGR"
"49","CAGR"
"5","Data types"
"50","CAGR"
"51","CAGR"
"52","Boxplot"
"53","Boxplot"
"54","Boxplot"
"55","Boxplot"
"56","CAGR"
"57","Histograms and Skewness"
"58","Histograms and Skewness"
"59","Histograms and Skewness"
"6","Data types"
"60","Charts"
"61","Charts"
"62","Charts"
"63","Charts"
"64","Charts"
"65","Charts"
"66","Charts"
"67","Charts"
"68","Descriptive Stats"
"69","Descriptive Stats"
"7","Data types"
"70","Probability overview"
"71","Probability overview"
"72","Probability overview"
"73","Probability overview"
"74","Probability overview"
"75","Probability overview"
"76","Probability overview"
"77","Probability overview"
"78","Law of Complements"
"79","Law of Complements"
"8","Data types"
"80","Law of Complements"
"81","Law of Complements"
"82","Law of Complements"
"83","Law of Complements"
"84","Independent Events"
"85","Law of Complements"
"86","Law of Complements"
"87","Mutually Exclusive Events"
"88","Mutually Exclusive Events"
"89","Law of Complements"
"9","Data types"
"90","Law of Complements"
"91","Independent Events"
"92","Independent Events"
"93","Independent Events"
"94","Independent Events"
"95","Independent Events"
"96","Independent Events"
"97","Independent Events"
"98","Law of Complements"
"99","Independent Events"
